playerID,name,pos
howarde01,Del Howard,1B
olsoniv01,Ivy Olson,SS
ganlebo01,Bob Ganley,RF
killere01,Red Killefer,CF
moranhe01,Herbie Moran,RF
thomair01,Ira Thomas,C
dooinre01,Red Dooin,C
lavando01,Doc Lavan,SS
moranpa01,Pat Moran,C
bemisha01,Harry Bemis,C
laudebi01,Billy Lauder,3B
shannsp01,Spike Shannon,LF
gilbebi02,Billy Gilbert,2B
birmijo01,Joe Birmingham,CF
carrch01,Charlie Carr,1B
niehobe01,Bert Niehoff,2B
schaege01,Germany Schaefer,2B
coughbi01,Bill Coughlin,3B
hoffmda01,Danny Hoffman,CF
doolami01,Mickey Doolin,SS
hahned01,Ed Hahn,RF
kittrma01,Malachi Kittridge,C
magooge01,George Magoon,SS
nilesha01,Harry Niles,2B
schlead01,Admiral Schlei,C
bairddo01,Doug Baird,3B
downeto01,Tom Downey,SS
kopfla01,Larry Kopf,SS
phelped01,Ed Phelps,C
unglabo01,Bob Unglaub,1B
courter01,Ernie Courtney,3B
gedeojo01,Joe Gedeon,2B
milleot01,Otto Miller,C
sheanda01,Dave Shean,2B
burkeji01,Jimmy Burke,3B
jonesto01,Tom Jones,1B
mcbrige01,George McBride,SS
sweened01,Ed Sweeney,C
sullibi03,Billy Sullivan,C
janvrha01,Hal Janvrin,SS
granted01,Eddie Grant,3B
tannele01,Lee Tannehill,3B
hulswru01,Rudy Hulswitt,SS
henryjo02,John Henry,C
alperwh01,Whitey Alpermann,2B
ballne01,Neal Ball,SS
mollwfr01,Fritz Mollwitz,1B
burchal01,Al Burch,CF
barclge01,George Barclay,LF
blackle01,Lena Blackburne,SS
streega01,Gabby Street,C
kleinre01,Red Kleinow,C
powerdo01,Doc Powers,C
lewisph01,Phil Lewis,SS
stanaos01,Oscar Stanage,C
knighjo02,John Knight,SS
jonesch03,Charlie Jones,CF
malonbi01,Billy Maloney,CF
agnewsa01,Sam Agnew,C
olearch01,Charley O'Leary,SS
bergebi01,Bill Bergen,C
pujolal01,Albert Pujols,1B
troutmi01,Mike Trout,CF
ortizda01,David Ortiz,DH
cabremi01,Miguel Cabrera,1B
vottojo01,Joey Votto,1B
beltrad01,Adrian Beltre,3B
suzukic01,Ichiro Suzuki,RF
utleych01,Chase Utley,2B
hollima01,Matt Holliday,LF
canoro01,Robinson Cano,2B
mauerjo01,Joe Mauer,C
braunry02,Ryan Braun,LF
tulowtr01,Troy Tulowitzki,SS
wrighda03,David Wright,3B
teixema01,Mark Teixeira,1B
